season,round,driver,rating_mu
1951,2,griffith,1340.36
1951,2,hanks,1490.8
1951,2,hellings,1320.63
1951,2,james,1263.92
1951,2,linden,1681.15
1951,2,mackey,1472.38
1951,2,mcdowell,1277.83
1951,2,mcgrath,1728.95
1951,2,miller,1386.23
1951,2,nalon,1599.3
1951,2,nazaruk,1720.13
1951,2,parsons,1532.65
1951,2,rose,1623.49
1951,2,ruttman,1432.56
1951,2,scarborough,1486.73
1951,2,schindler,1507.56
1951,2,stevenson,1457.93
1951,2,vukovich,1324.92
1951,2,wallard,1805.3
1951,2,walt_brown,1363.43
1951,2,ward,1355.69
1951,3,andre_pilette,1538.24
1951,3,ascari,1704.85
1951,3,cabantous,1460.34
1951,3,chiron,1465.45
1951,3,claes,1498.7
1951,3,etancelin,1510.83
1951,3,fangio,1650.88
1951,3,farina,1876.28
1951,3,levegh,1512.82
1951,3,rosier,1695.29
1951,3,sanesi,1483.28
1951,3,taruffi,1549.31
1951,3,villoresi,1507.23
1951,4,ascari,1580.27
1951,4,ascari,1580.27
1951,4,cabantous,1584.81
1951,4,chaboud,1619.3
1951,4,chiron,1603.24
1951,4,claes,1516.67
1951,4,etancelin,1492.48
1951,4,fagioli,1773.04
1951,4,fagioli,1773.04
1951,4,fangio,1691.84
1951,4,fangio,1691.84
1951,4,farina,1849.33
1951,4,gonzalez,1578.05
1951,4,gordini,1470.61
1951,4,graffenried,1453.97
1951,4,guy_mairesse,1576.35
1951,4,manzon,1331.98
1951,4,marimon,1371.35
1951,4,reg_parnell,1661.84
1951,4,rosier,1601.54
1951,4,sanesi,1550.36
1951,4,schell,1444.7
1951,4,simon,1405.85
1951,4,trintignant,1364.44
1951,4,villoresi,1668.13
1951,4,whitehead,1359.05
1951,5,ascari,1479.42
1951,5,bonetto,1523.35
1951,5,chiron,1442.65
1951,5,claes,1490.16
1951,5,duncan_hamilton,1497.08
1951,5,fangio,1775.59
1951,5,farina,1674.78
1951,5,gerard,1594.16
1951,5,gonzalez,1719.67
1951,5,john_james,1365.61
1951,5,kelly,1432.46
1951,5,murray,1447.92
1951,5,parker,1415.96
1951,5,peter_walker,1484.16
1951,5,reg_parnell,1707.72
1951,5,rosier,1587.84
1951,5,sanesi,1625.23
1951,5,shawe_taylor,1572.45
